id,athlete_count,star_count,created_at,effort_count,distance,total_elevation_gain
16042328,5761,6,2017-09-16T19:09:27Z,50322,348.1,2.2
5771516,6130,15,2013-10-14T06:19:37Z,55398,280.0,22.0
7991956,6180,25,2014-08-26T16:26:59Z,92927,735.4,7.1
7133153,8577,10,2014-05-03T08:35:06Z,80246,887.0,20.4
13811009,5409,2,2016-12-15T09:11:35Z,35169,793.1,0.0
17744974,65,1,2018-05-23T12:15:26Z,760,328.6,0.0
14696990,601,3,2017-04-24T17:31:28Z,4352,368.0,0.0
5771523,3243,2,2013-10-14T06:21:33Z,10264,104.4,5.2
654158,130,28,2011-05-16T08:46:04Z,163,81469.8,817.8
15766395,408,2,2017-08-17T20:35:35Z,2752,346.8,14.8
17936586,452,3,2018-06-12T18:57:35Z,6265,301.7,7.6
9384737,6720,4,2015-05-01T13:45:47Z,84083,337.1,18.2
9627546,3891,26,2015-06-01T19:08:55Z,67159,213.0,6.6
4402116,7773,18,2013-06-13T20:14:25Z,91444,215.2,2.8
682878,8777,9,2011-07-15T18:06:54Z,94471,466.697,2.8
12051353,254,12,2016-05-11T09:52:54Z,990,262.4,0.0
25265532,488,4,2020-08-10T22:21:23Z,6946,704.7,20.2
7453306,179,4,2014-06-17T20:41:06Z,1114,387.4,0.0
5200109,3655,24,2013-08-20T18:25:04Z,17650,376.4,35.7
10363917,7222,9,2015-08-31T15:42:44Z,70200,1020.8,0.0
4039017,4040,6,2013-05-07T15:54:27Z,23934,1312.9,0.0
12296615,6356,9,2016-06-06T21:44:26Z,64057,1860.1,14.2
12024335,2157,3,2016-05-08T16:05:26Z,26306,563.9,2.8
13252980,7769,14,2016-09-21T10:56:11Z,95664,128.2,6.8
22655967,3564,4,2020-01-15T14:21:48Z,60407,1191.5,42.4
12081836,7444,6,2016-05-14T21:44:45Z,42673,430.2,2.0
18901529,6103,6,2018-09-20T13:29:35Z,38918,399.4,6.0
14869300,1580,2,2017-05-14T06:32:42Z,9119,559.4,0.0
4230774,1726,6,2013-05-27T19:43:12Z,26872,507.8,20.5
14601402,1285,1,2017-04-14T19:11:38Z,32688,490.0,12.0
12573401,1882,16,2016-07-09T15:42:18Z,13794,531.9,14.4
11939095,6562,19,2016-04-28T19:05:58Z,55440,217.2,0.0
3859833,9301,15,2013-04-17T18:37:02Z,195534,510.392,13.7827
12498535,11518,26,2016-06-30T18:00:03Z,189551,476.6,4.7
1321945,5138,15,2012-05-03T06:46:37Z,41950,320.645,0.0
12739885,5106,12,2016-07-27T17:44:13Z,25222,189.6,10.4
14099318,12282,25,2017-02-03T12:34:51Z,169901,693.8,6.0
18489542,11387,13,2018-08-09T19:18:23Z,168079,731.1,4.2
9862681,13364,17,2015-07-02T16:20:41Z,220190,542.9,15.6
21773912,15936,14,2019-09-12T15:19:21Z,248892,332.0,6.2
27470260,11317,5,2021-03-02T06:53:12Z,172756,1232.2,2.4
12318696,3610,7,2016-06-09T10:59:10Z,44983,434.8,7.0
9770748,8807,8,2015-06-20T15:25:38Z,74768,286.8,2.4
1116847,10761,50,2012-03-21T16:26:55Z,236012,1453.59,22.2
5187760,6998,10,2013-08-19T18:04:14Z,75976,1123.7,2.4
21094161,14665,46,2019-07-08T09:33:15Z,284093,1199.2,50.1
18178637,17918,39,2018-07-09T11:09:26Z,305629,551.0,0.0
18996904,20249,12,2018-10-01T13:34:07Z,334973,839.3,0.0
18329206,14527,11,2018-07-24T19:34:12Z,207143,839.1,5.0
719925,23091,40,2011-08-18T14:29:44Z,313258,790.167,0.0
8070612,6754,18,2014-09-05T19:12:58Z,57522,1223.4,3.6
14432528,1865,3,2017-03-26T00:40:05Z,16767,834.7,14.0
11810437,5037,12,2016-04-13T20:59:18Z,96695,166.0,9.8
20422719,5880,1,2019-04-26T08:34:32Z,39692,794.0,12.4
25267619,3438,2,2020-08-11T04:29:52Z,29211,527.1,0.0
20260429,4041,0,2019-04-08T11:31:32Z,90293,751.6,14.8
7532196,7997,2,2014-06-29T00:17:16Z,18795,146.1,0.0
18902633,5579,4,2018-09-20T15:46:05Z,67645,1369.2,14.2
24399465,4135,4,2020-06-09T07:19:38Z,17325,551.2,3.0
15659375,3945,3,2017-08-07T12:38:36Z,70547,399.7,0.0
7400766,3641,5,2014-06-10T13:27:46Z,64508,1154.1,6.4
2392638,255,1,2012-09-16T15:40:18Z,985,203.803,11.8
15032628,2876,4,2017-05-31T19:43:33Z,22223,844.0,9.6
2392174,33,1,2012-09-16T15:02:42Z,42,448.414,20.0
9708445,4693,6,2015-06-12T06:50:02Z,70446,440.1,0.0
12747825,1935,6,2016-07-28T14:25:27Z,16981,251.4,0.0
18901367,2760,2,2018-09-20T13:11:48Z,24313,1171.9,6.6
4122117,3582,13,2013-05-16T13:58:08Z,43912,1385.5,6.0
12682826,2164,3,2016-07-21T17:29:29Z,16422,1102.6,12.6
2236853,1094,5,2012-08-27T19:32:37Z,4720,1220.29,59.8975
16205674,8209,23,2017-10-06T17:05:38Z,115772,370.3,16.2
16155745,5070,4,2017-09-30T12:43:36Z,58317,439.2,17.3
4315132,3815,33,2013-06-05T11:24:13Z,43281,577.6,21.1
12423270,5677,3,2016-06-21T16:49:52Z,53873,771.8,14.6
12423279,3422,5,2016-06-21T16:51:26Z,49114,290.8,10.2
13117593,400,2,2016-09-06T11:33:06Z,1115,170.8,25.0
1374463,268,4,2012-05-13T14:29:13Z,2501,480.13,35.2
14777911,141,0,2017-05-03T20:50:34Z,350,536.5,0.0
15895857,194,3,2017-08-30T20:09:43Z,598,443.4,25.1
9058839,310,2,2015-03-14T14:45:51Z,659,426.8,21.5
6797306,520,2,2014-03-06T19:03:04Z,1445,179.3,11.3
6351439,755,4,2014-01-04T16:33:58Z,3236,352.3,2.0
12250420,25,1,2016-06-01T18:54:01Z,128,193.3,10.4
1581586,2241,1,2012-06-17T19:11:01Z,16537,837.503,31.5
672411,1217,29,2011-06-29T18:15:25Z,7591,1236.7,58.6
21416765,1772,2,2019-08-08T22:59:01Z,9764,588.9,31.7
24677644,372,2,2020-06-29T07:58:09Z,1300,622.1,26.6
15319241,193,4,2017-07-03T08:46:10Z,444,316.7,40.0
18135532,14668,8,2018-07-04T14:53:41Z,213795,789.8,7.6
2298466,13362,47,2012-09-04T06:12:07Z,224510,542.938,6.0
23075398,3111,8,2020-03-15T14:01:58Z,43264,833.8,19.6
13490689,8130,13,2016-10-21T20:46:31Z,110579,396.1,3.2
10338692,2988,7,2015-08-28T14:21:54Z,34292,1311.4,13.4
9348884,2631,10,2015-04-26T16:05:32Z,25516,460.2,22.8
12546355,1504,1,2016-07-06T10:23:38Z,15528,525.6,17.1
798581,6126,15,2011-10-19T07:27:43Z,105457,1315.25,21.244
24197997,16916,22,2020-05-26T14:56:49Z,120194,698.8,0.0
5800741,16526,63,2013-10-17T22:57:57Z,193394,1238.6,50.4
17771655,15932,24,2018-05-26T15:12:25Z,232178,1192.3,0.0
18536463,14869,6,2018-08-14T12:53:48Z,202482,457.0,14.8
12537931,10630,9,2016-07-05T12:32:05Z,158673,440.0,21.2
6974117,14183,41,2014-04-08T18:38:25Z,246466,192.5,0.0
15404486,10654,16,2017-07-12T10:05:54Z,112824,333.1,15.6
5665774,12207,36,2013-10-02T15:52:41Z,235429,96.1,0.0
15220591,11687,21,2017-06-21T21:18:07Z,106012,432.1,13.5
9140052,7002,15,2015-03-28T14:31:02Z,50172,315.0,13.6
12533680,6579,25,2016-07-04T21:18:59Z,137259,533.7,0.0
17654078,5191,13,2018-05-13T19:24:31Z,134166,428.2,5.4
28155524,17013,31,2021-04-24T16:21:38Z,287680,425.9,0.0
15888281,14335,34,2017-08-30T05:50:32Z,276089,1031.8,12.4
24324576,12259,18,2020-06-03T20:15:40Z,55273,396.8,5.2
9425631,16931,33,2015-05-06T18:51:49Z,264034,1534.2,7.8
22741528,3587,2,2020-01-27T20:11:28Z,84928,1193.7,2.6
14500451,5107,8,2017-04-03T07:25:15Z,72868,707.6,19.9
26037200,11280,8,2020-10-12T12:16:31Z,128839,376.7,4.6
21005422,8141,5,2019-06-28T16:26:08Z,72145,558.2,6.0
25571847,4973,3,2020-09-03T09:33:03Z,30186,378.9,3.5
16042283,4622,12,2017-09-16T19:02:11Z,52178,323.5,5.6
1508655,4310,19,2012-06-04T19:44:07Z,34413,342.43,16.8
4923544,4802,8,2013-07-30T07:31:39Z,39490,178.0,8.2
3812812,1139,27,2013-04-12T07:00:15Z,4220,233.072,27.6
26596347,2000,2,2020-11-30T13:58:09Z,11475,614.2,4.4
12308648,16844,24,2016-06-08T08:12:08Z,292779,466.5,8.0
18662094,15734,15,2018-08-26T18:18:54Z,192316,593.9,2.0
12261349,14413,30,2016-06-02T21:55:08Z,199189,622.6,13.0
15229475,13025,9,2017-06-22T22:00:23Z,188379,734.0,27.8
18338143,3985,4,2018-07-25T18:02:04Z,40008,525.6,23.8
14068781,5257,9,2017-01-29T14:59:33Z,28334,126.6,7.8
5583293,459,5,2013-09-23T19:19:05Z,4155,430.9,13.3
1689511,7551,3,2012-07-05T17:17:16Z,50453,529.51,15.0
7839506,1361,29,2014-08-07T19:45:26Z,14349,307.2,0.0
3796616,6239,14,2013-04-09T20:01:52Z,47676,221.849,7.5512
3898429,18740,18,2013-04-22T11:43:20Z,251413,586.96,4.06285
25350342,12274,7,2020-08-17T09:04:59Z,232843,334.5,4.0
4996878,16340,21,2013-08-05T05:54:35Z,263091,982.9,2.0
26311032,6061,9,2020-11-06T21:23:42Z,45995,735.3,23.1
663261,11601,22,2011-06-09T12:23:57Z,154380,1075.44,0.0
9513929,8440,18,2015-05-18T10:06:53Z,46987,1283.3,26.2
20668632,15682,12,2019-05-23T07:50:54Z,227902,1015.3,4.6
20582431,18351,15,2019-05-13T17:53:41Z,245890,892.4,8.6
25373900,15019,8,2020-08-18T20:28:30Z,185871,347.0,7.0
15919483,9251,12,2017-09-02T16:26:35Z,94347,512.8,6.4
2476061,8321,5,2012-09-29T10:52:57Z,74253,172.276,10.8606
22881436,19269,17,2020-02-17T09:23:06Z,270805,626.0,0.0
2298473,14314,79,2012-09-04T06:16:05Z,245455,1106.32,0.0
16399649,1681,7,2017-11-01T12:48:26Z,16438,617.6,33.6
1511140,3793,12,2012-06-05T10:24:22Z,35295,187.253,11.847
5410429,4306,8,2013-09-07T09:38:55Z,26583,104.7,5.4
5190675,3943,13,2013-08-19T21:41:20Z,29598,157.6,5.2
3741285,1033,12,2013-04-02T19:11:52Z,12476,281.9,7.68795
25545856,1221,1,2020-09-01T07:18:09Z,11514,597.6,0.0
12233080,64,1,2016-05-30T20:24:59Z,369,396.4,27.2
7699021,4107,5,2014-07-21T15:08:14Z,29269,738.7,15.3
23158075,14318,10,2020-03-25T07:35:06Z,243588,581.5,14.7
13252888,3480,4,2016-09-21T10:42:48Z,42430,251.3,0.0
3392669,4648,9,2013-02-07T17:26:21Z,40078,472.034,12.3821
14534692,3116,4,2017-04-07T06:34:43Z,33104,543.0,0.0
24842884,4631,12,2020-07-11T20:38:48Z,37527,371.9,0.0
24243645,16881,11,2020-05-29T15:33:15Z,105129,301.3,3.0
24279532,468,37,2020-05-31T21:57:13Z,2518,510.6,0.0
24243615,12908,5,2020-05-29T15:30:21Z,105358,300.9,2.0
703265,589,18,2011-08-06T10:06:30Z,3794,755.44,120.8
4330017,16968,32,2013-06-06T20:51:33Z,240945,1084.9,16.8
18424349,14873,74,2018-08-03T14:17:26Z,308355,547.6,35.2
1098554,22718,52,2012-03-17T16:44:36Z,343460,409.29,14.2
17201837,11939,27,2018-03-19T09:50:20Z,135230,1573.4,89.4
12528580,13052,15,2016-07-04T12:36:30Z,173635,593.5,21.5
5781481,16690,22,2013-10-15T10:44:33Z,194197,329.0,0.0
9318550,10540,8,2015-04-22T11:49:27Z,85024,130.4,11.4
23325600,3620,2,2020-04-06T19:30:07Z,28628,300.7,5.6
15430926,6669,11,2017-07-15T11:39:09Z,40533,309.9,6.4
7980679,15293,21,2014-08-25T07:34:48Z,300497,381.7,10.7
14801162,3914,3,2017-05-06T18:17:15Z,31037,628.4,9.0
28095291,19721,6,2021-04-20T08:06:39Z,263316,843.3,0.0
12308329,20798,15,2016-06-08T07:16:58Z,318429,544.7,0.0
15936656,13842,9,2017-09-04T10:59:59Z,102071,584.3,0.0
9848117,10227,18,2015-06-30T16:56:42Z,172248,2340.3,41.3
5119509,20962,26,2013-08-14T17:38:02Z,362423,551.4,0.0
19231063,10604,7,2018-10-31T10:52:20Z,108814,307.8,0.0
21383914,8187,11,2019-08-05T22:12:00Z,129806,838.3,47.8
17635270,344,12,2018-05-11T20:06:15Z,2307,602.0,0.0
6770484,8246,21,2014-02-28T12:06:27Z,129555,409.3,26.0
25507885,140,12,2020-08-29T09:18:33Z,437,450.2,0.0
23068702,177,17,2020-03-14T16:47:46Z,728,461.3,0.0
11935393,448,10,2016-04-28T10:43:15Z,2695,481.0,19.1
24512662,101,2,2020-06-17T08:08:20Z,1158,437.4,8.0
25647382,160,1,2020-09-09T08:43:09Z,717,301.8,0.0
