Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Fra tidspunkt;Til tidspunkt;Felt;Trafikkmengde;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T08:00+01:00;2024-03-01T09:00+01:00;2024-03-01;08:00;09:00;Totalt;158;100,0;1;1;0;158;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T09:00+01:00;2024-03-01T10:00+01:00;2024-03-01;09:00;10:00;1;25;100,0;1;1;0;25;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T09:00+01:00;2024-03-01T10:00+01:00;2024-03-01;09:00;10:00;2;9;100,0;1;1;0;9;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T09:00+01:00;2024-03-01T10:00+01:00;2024-03-01;09:00;10:00;Totalt i retning Bygdøy;25;100,0;1;1;0;25;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T09:00+01:00;2024-03-01T10:00+01:00;2024-03-01;09:00;10:00;Totalt i retning Vika;9;100,0;1;1;0;9;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T09:00+01:00;2024-03-01T10:00+01:00;2024-03-01;09:00;10:00;Totalt;34;100,0;1;1;0;34;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T10:00+01:00;2024-03-01T11:00+01:00;2024-03-01;10:00;11:00;1;14;100,0;1;1;0;14;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T10:00+01:00;2024-03-01T11:00+01:00;2024-03-01;10:00;11:00;2;6;100,0;1;1;0;6;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T10:00+01:00;2024-03-01T11:00+01:00;2024-03-01;10:00;11:00;Totalt i retning Bygdøy;14;100,0;1;1;0;14;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T10:00+01:00;2024-03-01T11:00+01:00;2024-03-01;10:00;11:00;Totalt i retning Vika;6;100,0;1;1;0;6;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T10:00+01:00;2024-03-01T11:00+01:00;2024-03-01;10:00;11:00;Totalt;20;100,0;1;1;0;20;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T11:00+01:00;2024-03-01T12:00+01:00;2024-03-01;11:00;12:00;1;4;100,0;1;1;0;4;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T11:00+01:00;2024-03-01T12:00+01:00;2024-03-01;11:00;12:00;2;7;100,0;1;1;0;7;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T11:00+01:00;2024-03-01T12:00+01:00;2024-03-01;11:00;12:00;Totalt i retning Bygdøy;4;100,0;1;1;0;4;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T11:00+01:00;2024-03-01T12:00+01:00;2024-03-01;11:00;12:00;Totalt i retning Vika;7;100,0;1;1;0;7;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T11:00+01:00;2024-03-01T12:00+01:00;2024-03-01;11:00;12:00;Totalt;11;100,0;1;1;0;11;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T12:00+01:00;2024-03-01T13:00+01:00;2024-03-01;12:00;13:00;1;7;100,0;1;1;0;7;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T12:00+01:00;2024-03-01T13:00+01:00;2024-03-01;12:00;13:00;2;6;100,0;1;1;0;6;0,00;-;-;-;-;-;-;-;-
