sample;X;Y;Raster_Krig_THAW200709_Band_1;Raster_Krig_THAW200708_Band_1;Raster_Krig_THAW200707_Band_1;Raster_Krig_THAW200706_Band_1;Raster_Krig_THAW200705_Band_1;Raster_Krig_SNOW200705_Band_1
68;70,000000000000000;70,000000000000000;92,0000000;102,3712921;90,3343658;65,4465790;39,0000000;7,5649247
69;80,000000000000000;70,000000000000000;102,0000000;103,2168350;92,0096817;65,8327637;37,0000000;9,8436050
70;100,000000000000000;70,000000000000000;96,0000000;104,3267899;93,9869537;66,8543701;37,0000000;7,0903516
71;0,000000000000000;80,000000000000000;100,0000000;97,9273071;86,5851440;66,3765869;33,0000000;6,2237883
72;10,000000000000000;80,000000000000000;94,0000000;97,3510361;86,1779327;65,2468567;36,0000000;4,4524145
73;20,000000000000000;80,000000000000000;94,0000000;98,0745926;87,4717255;65,6926117;32,0000000;7,0952640
74;30,000000000000000;80,000000000000000;112,0000000;99,4094543;89,0592728;66,2073059;30,0000000;7,1086636
75;40,000000000000000;80,000000000000000;105,0000000;100,9175568;90,0650406;66,3773880;37,0000000;7,0312991
76;50,000000000000000;80,000000000000000;102,0000000;101,6651535;90,1737061;66,2283173;36,0000000;8,0368481
77;60,000000000000000;80,000000000000000;103,0000000;102,0359192;90,3189850;66,3132706;40,0000000;3,6897428
78;70,000000000000000;80,000000000000000;103,0000000;102,3885117;90,3441086;66,5336609;39,0000000;2,4389064
79;80,000000000000000;80,000000000000000;103,0000000;103,4795609;91,3210297;66,6901779;32,0000000;9,1686115
80;90,000000000000000;80,000000000000000;105,0000000;103,5731659;92,1213074;66,9504929;42,0000000;5,4048347
81;100,000000000000000;80,000000000000000;102,0000000;103,9562149;92,9849091;67,2840729;37,0000000;6,0716105
82;0,000000000000000;90,000000000000000;98,0000000;97,8471222;86,4921951;65,3766556;44,0000000;7,9189196
83;10,000000000000000;90,000000000000000;95,0000000;97,4729233;86,9048691;65,0112839;40,0000000;8,1089296
84;20,000000000000000;90,000000000000000;96,0000000;97,9245911;88,0676346;65,2125015;37,0000000;8,1373739
85;30,000000000000000;90,000000000000000;98,0000000;99,3194733;89,3988266;66,0713348;46,0000000;6,8532872
86;40,000000000000000;90,000000000000000;108,0000000;100,9424133;90,1142044;65,6583481;33,0000000;6,6729398
87;60,000000000000000;90,000000000000000;105,0000000;102,9511795;91,7126846;66,8411407;43,0000000;1,5036561
88;70,000000000000000;90,000000000000000;102,0000000;103,6971130;92,2556839;66,4437561;43,0000000;3,9131045
89;80,000000000000000;90,000000000000000;104,0000000;104,3644180;92,4913635;66,8344650;44,0000000;1,3308699
90;90,000000000000000;90,000000000000000;112,0000000;104,5846710;92,8933411;67,7448730;49,0000000;1,4178507
91;100,000000000000000;90,000000000000000;101,0000000;104,4309692;93,1996918;67,5361023;36,0000000;7,5133195
92;0,000000000000000;100,000000000000000;105,0000000;98,0566483;86,6368790;65,1940002;52,0000000;1,7611396
93;20,000000000000000;100,000000000000000;98,0000000;98,0202255;88,2509918;65,4281464;40,0000000;3,2606466
94;30,000000000000000;100,000000000000000;97,0000000;98,9005203;88,7514496;65,4641800;40,0000000;7,1183834
95;40,000000000000000;100,000000000000000;100,0000000;100,5215454;89,2130737;65,5760117;41,0000000;3,2162256
96;50,000000000000000;100,000000000000000;103,0000000;101,7939224;90,1144028;65,2045898;36,0000000;8,2960758
97;60,000000000000000;100,000000000000000;109,0000000;103,0295944;91,7783279;65,8159027;37,0000000;4,7959309
98;80,000000000000000;100,000000000000000;119,0000000;104,9183731;93,3918762;66,4458389;46,0000000;1,0057770
99;90,000000000000000;100,000000000000000;107,0000000;105,0631180;93,5483017;66,7332306;41,0000000;1,6548239
100;100,000000000000000;100,000000000000000;108,0000000;104,8746414;93,6952057;66,5110931;43,0000000;1,3032291
